frame,mode,baseline_best_idx,scored_best_idx,baseline_iou,scored_iou,delta,sam_best_mask_png,score_best_mask_png,sequence
3,default_no_gt,2,1,0.9339132079039424,0.9285514149621744,-0.0053617929417681,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00003_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00003_best.png,mallard-fly
4,default_no_gt,2,1,0.9300934579439252,0.9265970232042156,-0.0034964347397097,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00004_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00004_best.png,mallard-fly
5,default_no_gt,2,1,0.9279262501163982,0.9226048726873054,-0.0053213774290927,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00005_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00005_best.png,mallard-fly
6,default_no_gt,2,1,0.9204948690898628,0.9154836267272384,-0.0050112423626246,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00006_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00006_best.png,mallard-fly
7,default_no_gt,2,1,0.9184051472021836,0.910733160372826,-0.0076719868293576,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00007_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00007_best.png,mallard-fly
8,default_no_gt,2,1,0.9262788365095286,0.9184281036022626,-0.007850732907266,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00008_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00008_best.png,mallard-fly
9,default_no_gt,2,1,0.9231564794704726,0.9143674637236868,-0.0087890157467857,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00009_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00009_best.png,mallard-fly
10,default_no_gt,2,1,0.9371502367628068,0.9326994979168892,-0.0044507388459175,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00010_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00010_best.png,mallard-fly
11,default_no_gt,2,1,0.9212688270196258,0.9188271255519076,-0.0024417014677181,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00011_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00011_best.png,mallard-fly
12,default_no_gt,2,2,0.9060090401488966,0.9060090401488966,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00012_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00012_best.png,mallard-fly
13,default_no_gt,2,2,0.9053783325627984,0.9053783325627984,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00013_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00013_best.png,mallard-fly
14,default_no_gt,2,2,0.913777455073516,0.913777455073516,0.0,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_sam\00014_sam_best.png,D:\uwb thesis\RelatedData\DAVIS-data\DAVIS\SAM_results\mallard-fly\selected_by_score_default_no_gt\00014_best.png,mallard-fly
