sequence,ablation,baseline_mean_iou,scored_mean_iou,mean_delta_vs_sam,n_frames,best_improve_frame,best_improve_delta,worst_drop_frame,worst_drop_delta,w_area,w_center,w_border,w_silhouette,q_border,t_area
drift-chicane,no_silhouette,0.5583224393560866,0.8785012571723526,0.32017881781626595,52,00008,0.9505147791431419,00037,-0.22406242894311978,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
drift-straight,default_full,0.5257067553920508,0.3140564507315065,-0.21165030466054424,50,00012,0.9720099520170606,00024,-0.9833526337704247,0.25,0.25,0.25,0.25,0.3,0.25
drift-straight,no_area,0.5257067553920508,0.5737403399316515,0.048033584539600806,50,00017,0.9758889430102289,00027,-0.9875720754471121,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-straight,no_center,0.5257067553920508,0.5639530757096897,0.03824632031763889,50,00023,0.981874591770085,00015,-0.9775306061510899,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-straight,no_border,0.5257067553920508,0.3198630101870323,-0.2058437452050185,50,00023,0.981874591770085,00020,-0.9818751976566407,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
drift-straight,no_silhouette,0.5257067553920508,0.19090234528860184,-0.3348044101034489,50,00019,0.36995249406175773,00027,-0.9875720754471121,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
drift-turn,default_full,0.36528443080719775,0.7118006895452199,0.34651625873802216,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.25,0.25,0.25,0.25,0.3,0.25
drift-turn,no_area,0.36528443080719775,0.5906968697320142,0.2254124389248165,64,00000,0.972628377588022,00052,-0.005179283307847227,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-turn,no_center,0.36528443080719775,0.7717810081755867,0.40649657736838885,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
drift-turn,no_border,0.36528443080719775,0.561829457772956,0.1965450269657584,64,00041,0.9742924004577832,00059,-0.3606493173877917,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3,0.25
drift-turn,no_silhouette,0.36528443080719775,0.5870198553953816,0.22173542458818385,64,00041,0.9714795008912656,00060,-0.7125188253523878,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3,0.25
elephant,default_full,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.25,0.25,0.25,0.25,0.3,0.25
elephant,no_area,0.9647892339167464,0.9423395390818413,-0.02244969483490522,80,00012,0.018145573203235066,00007,-0.4855951008992522,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.25
elephant,no_center,0.9647892339167464,0.9634170844313719,-0.0013721494853746353,80,00012,0.018145573203235066,00055,-0.01872514880033327,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3,0.25
